Age;Sexe ;Province;statut_matrimonial ;Duree_stage;University;Avoir_deja_entendu_cancer;source_information_cancer ;source_information_cancer_Formation_medicale;source_information_cancer_Medias;source_information_cancer_Famille_Amis;source_information_cancer_Litterature_scientifique_Livres ;source_information_cancer_Experience_clinique _durant_mon _Stages;source_information_cancer_Autre;Si-Autre_precision;Caracteristic_cancer;Caracteristic_cancer_Une_infection_aigue;Caracteristic_cancer_Une proliferation_incontrolee_de cellules_anormales;Caracteristic_cancer_Une_inflammation passagere;Caracteristic_cancer_Une reaction_allergique;Caracteristic_cancer_Autre;Si_autre_precision;Type_de_cancer_connu ;Type_de_cancer_connu_Cancer_colorectal ;Type_de_cancer_connu_Leucémie ;Type_de_cancer_connu_Retinoblastome ;Type_de_cancer_connu_cancer_du_sein ;Type_de_cancer_connu_Lymphome ;Type_de_cancer_connuMeduloblastome ;Type_de_cancer_connu_cancer_uterus ;Type_de_cancer_connu_cancer_des_ovaires ;Type_de_cancer_connu_cancer_de_poumons ;Type_de_cancer_conn_Cancer_prostate ;Type_de_cancer_connu_cancer_peau ;Type_de_cancer_connu_Aucun;Type_de_cancer_connu_Autre;Type_de_cancer_connu_Si_autre_precision;principaux_facteurs_de_risque ;principaux_facteurs_de_risque_Tabagiste ;principaux_facteurs_de_risque_Consomation_d_alocool ;principaux_facteurs_de_risque_Mauvaise_alimentation;principaux_facteurs_de_risque_Manque_d_exercice_physique;principaux_facteurs_de_risque_Infections;principaux_facteurs_de_risque_Exposition_substances chimiques;principaux_facteurs_de_risque_genetique_hereditaire;principaux_facteurs_de_risque_Vieillissement;principaux_facteurs_de_risque_Mythes culturels_sorcellerie;principaux_facteurs_de_risque_Aucun;principaux_facteurs_de_risque_je_ne_sais_pas ;principaux_facteurs_de_risque_Autre;principaux_facteurs_de_risque_Si_autre_precision;Le_cancer_touche_uniquement_les_personnes_agees;La _detection_precoce ameliore_les_resultats_du_traitement;Le_tabagisme_est_la_cause_la_plus_frequente du_cancer;Certaines_vaccination_peuvent_prevenir_certains_cancers;utilisation_d_Ecrans_solaires_reduit le_cancer_de_la_peau;Le_cancer_est_toujours_hereditaire;Le_cancer_du_sein_peut toucher_les hommes;Hpylori_peut_conduire_au_cancer_gastrique;les_moyens_de_prevention_ou_de_depistage_du_cancer;les_moyens_de_prevention_ou_de_depistage_du_cancer_Vaccination;les_moyens_de_prevention_ou_de_depistage_du_cancer_Depistage_regulier;les_moyens_de_prevention_ou_de_depistage_du_cancer_Arret_du_tabac;les_moyens_de_prevention_ou_de_depistage_du_cancer_Alimentation_saine_et_exercice_physique ;les_moyens_de_prevention_ou_de_depistage_du_cancer_Evitement_des expositions_environnementales;les_moyens_de_prevention_ou_de_depistage_du_cancer_Examen_genetiques_pour_les_familles_a_risque;les_moyens_de_prevention_ou_de_depistage_du_cancer_Aucun ;les_moyens_de_prevention_ou_de_depistage_du_cancer_Autre;les_moyens_de_prevention_ou_de_depistage_du_cancer_Si autre_precision;La_vaccination_contre_le_HPV_est_prioritairement_recommandee_chez; Pense_que le_cancer_peut_etre gueri ;si_vrai_Quand;modalites_therapeutiques ;modalites_therapeutiques_Chirurgie ;modalites_therapeutiques_Chimiotherapie ;modalites_therapeutiques_Immunotherapie ;modalites_therapeutiques_Therapie_cible ;modalites_therapeutiques_Radiotherapie ;modalites_therapeutiques_traitement_paliatif ;modalites_therapeutiques_Traitement_traditionnel;modalites_therapeutiques_je_ne_sais_pas ;modalites_therapeutiques_Autre;modalites_therapeutique_Si_autre_precision;role_principal_des_soins_palliatifs;Si_autre_precision;principales_causes_de_la_mortalite_elevee_due_au_cancer_en_RDC  ;principales_causes_Diagnostic_tardif ;principales_causes_Manque_d_acces_aux_traitements ;principales_causes_Insuffisance_de_ressources;principales_causes_Niveau_d_education_de_la_population_bas ;principales_causes_Facteurs_socioculturels;principales_causes_Pauvrete_Manque de_moyens_financiers  ;principales_causes_Je_ne sais_pas;principales_causes_Aucun;principales_causes_Autre;principales_causes_Si_autre_precision;Pensez_vous_que_la_prevention_le_diagnostic_et_la_prise_en_charge_du_cancer_sont_adequates_en_RDC;Si_Non_Quels_sont_les_raison;Mesure_de_prevation_prioritaire_proposee_pour_lutter_cont_le_cancer_en_RDC;Niveau_de_priorite_accordee_a_la_lutte_contre_le_cancer_en_RDC;Pensez_vous_que_le_cancer_est_un_probleme_majeur_de_sante_publique_dans_la_sous_region_du_Kivu;Influence_des_mythes_et_traditions_sur_sur_la_gestion_du_cancer;votre_perception_generale_du_cancer;antecedent_personnel_de_cancer;antecedent_familial_de_cancer;Relation_avec_la_personne_atteinte;mode_de_traitement_observe_ou_vecu ;Evolution_observee;Poposition_pour_ameliorer_la_lutte_contre_le_cancer_dans_la_sous_region_du_Kivu
27;Feminin ;Maniema ;celibataire ;1;Universite de kindu ;OUI;Mes cours a l' universite \ Formation médicale Littérature scientifique / Livres ;1;0;0;1;0;0;Famille;Une infection aiguë Une prolifération incontrôlée de cellules anormales;1;1;0;0;0;Pollution environnementale;Cancer colorectal   Leucémie   Retinoblastome   cancer du sein  Lymphome  Meduloblastome  cancer de l'uterus  cancer des ovaires  cancer de poumons  Cancer de la prostate  cancer de la peau ;1;1;1;1;1;1;1;1;1;1;1;0;0;Cancer du col utérin;Tabagiste  Consomation d'alocool  Mauvaise alimentation (e.g., excès de viande rouge, faible en fruits/légumes) Infections (e.g., HPV, hépatite B/C) Exposition à des substances chimiques / Pollution de la nature Mythes culturels ( sorcellerie);1;1;1;0;1;1;0;0;1;0;0;0;Héréditaire;Faux ;VRAI;Vrai ;VRAI;VRAI;Faux ;VRAI;VRAI;Vaccination (e.g., contre HPV) Dépistage régulier (e.g., mammographie, frottis cervical) Arrêt du tabac Alimentation saine et exercice physique  Évitement des expositions environnementales;1;1;1;1;1;0;0;0;Soins appropriés;Filles avant le début de la vie sexuelle;VRAI;;Chirurgie  Chimiotherapie  Immunotherapie  Therapie cible  Radiotherapie  traitement paliatif ;1;1;1;1;1;1;0;0;0;Traitement précoce;Soulager la douleur et les autres symptômes (dyspnée, nausées, anxiété);Améliorez la qualité de vie du patient;Diagnostic tardif  Manque d'accès aux traitements  Insuffisance de ressources (e.g., équipements, personnel specialise dans sa prise en charge ) Niveau d'education de la population bas  Facteurs socioculturels (e.g., recours à la médecine traditionnelle)   ;1;1;1;1;1;0;0;0;0;Diagnostic tardif;Non;;Détecter la prise en charge du cancer précocement;5;VRAI;Oui , beaucoup;Traitable;Non ;Non;;;;Détecter le cancer précocement, avoir les agents personnel du soin de Cancer
27;Masculin;Maniema ;celibataire ;9;Universite de kindu ;OUI;Mes cours a l' universite \ Formation médicale;1;0;0;0;0;0;;Une prolifération incontrôlée de cellules anormales;0;1;0;0;0;; cancer du sein ;0;0;0;1;0;0;0;0;0;0;0;0;0;;Facteurs génétiques / Héréditaires;0;0;0;0;0;0;1;0;0;0;0;0;;Faux ;VRAI;Faux ;VRAI;VRAI;Faux ;Faux ;VRAI;Dépistage régulier (e.g., mammographie, frottis cervical);0;1;0;0;0;0;0;0;;Filles avant le début de la vie sexuelle;VRAI;si detecte et pris en charge au stade precoce ;Chirurgie  Chimiotherapie  Radiotherapie  traitement paliatif ;1;1;0;0;1;1;0;0;0;;Soulager la douleur et les autres symptômes (dyspnée, nausées, anxiété);;Diagnostic tardif  Manque d'accès aux traitements  Insuffisance de ressources (e.g., équipements, personnel specialise dans sa prise en charge ) Niveau d'education de la population bas  Facteurs socioculturels (e.g., recours à la médecine traditionnelle)    Pauvreté / Manque de moyens financiers  ;1;1;1;1;1;1;0;0;0;;Oui;;Dépistage précoce et une prise en charge au Stade précoce de la maladie;5;VRAI;Oui , beaucoup;Le cancer est une maladie traitable qui nécessite une prise en charge précoce et adéquate;Oui;Non;;;;Sensibiliser la femme pour la faire savoir le cancer du sein,sa clinique, l'apprendre comment on peut diagnostiquer le cancer du sein et promouvoir une prise en charge précoce
28;Masculin;Maniema ;celibataire ;11;Universite de kindu ;OUI;Mes cours a l' universite \ Formation médicale;1;0;0;0;0;0;;Une prolifération incontrôlée de cellules anormales;0;1;0;0;0;;Cancer colorectal   cancer du sein  cancer de l'uterus  cancer des ovaires  cancer de poumons  Cancer de la prostate  cancer de la peau ;1;0;0;1;0;0;1;1;1;1;1;0;0;;Tabagiste  Infections (e.g., HPV, hépatite B/C) Facteurs génétiques / Héréditaires;1;0;0;0;1;0;1;0;0;0;0;0;;VRAI;VRAI;Vrai ;VRAI;VRAI;Faux ;Faux ;Faux ;Vaccination (e.g., contre HPV) Dépistage régulier (e.g., mammographie, frottis cervical) Arrêt du tabac Alimentation saine et exercice physique  Examen genetiques pour les familles a risque;1;1;1;1;0;1;0;0;;Femmes de plus de 50 ans ;Faux ;;Chirurgie  Chimiotherapie ;1;1;0;0;0;0;0;0;0;;Soulager la douleur et les autres symptômes (dyspnée, nausées, anxiété);;Diagnostic tardif  Manque d'accès aux traitements  Insuffisance de ressources (e.g., équipements, personnel specialise dans sa prise en charge ) Niveau d'education de la population bas ;1;1;1;1;0;0;0;0;0;;Oui;;Le dépistage précoce;5;VRAI;Oui , beaucoup;Est une maladie traitable;Non ;Non;;;;Le dépistage précoce
25;Masculin;Maniema ;celibataire ;11;Universite de kindu ;OUI;Mes cours a l' universite \ Formation médicale;1;0;0;0;0;0;;Une prolifération incontrôlée de cellules anormales;0;1;0;0;0;; cancer du sein ;0;0;0;1;0;0;0;0;0;0;0;0;0;;Facteurs génétiques / Héréditaires;0;0;0;0;0;0;1;0;0;0;0;0;;Faux ;VRAI;Vrai ;VRAI;Faux ;Faux ;Faux ;VRAI;Dépistage régulier (e.g., mammographie, frottis cervical);0;1;0;0;0;0;0;0;;Filles avant le début de la vie sexuelle;VRAI;si detecte et pris en charge au stade precoce ;Chirurgie  Chimiotherapie  Radiotherapie ;1;1;0;0;1;0;0;0;0;;Soutenir l’accompagnement psychologique et spirituel;;Diagnostic tardif ;1;0;0;0;0;0;0;0;0;;Oui;;Le dépistage régulier et l’éviction de facteurs predisposants;1;VRAI;Oui , moderement ;Il est mortel;Oui;Oui;un oncle /Tente ;Traitement médical conventionnel (e.g., hôpital) ;Guérison  ;Dépistage régulier
26;Masculin;Nord kivu;celibataire ;11;Universite catholique de Graben ;OUI;Mes cours a l' universite \ Formation médicale Médias (TV, radio, internet);1;1;0;0;0;0;;Une prolifération incontrôlée de cellules anormales;0;1;0;0;0;;Cancer colorectal   Leucémie   Retinoblastome   cancer du sein  Lymphome  cancer de l'uterus  cancer des ovaires  cancer de poumons  Cancer de la prostate  cancer de la peau ;1;1;1;1;1;0;1;1;1;1;1;0;0;;Tabagiste  Consomation d'alocool  Infections (e.g., HPV, hépatite B/C) Exposition à des substances chimiques / Pollution de la nature Facteurs génétiques / Héréditaires;1;1;0;0;1;1;1;0;0;0;0;0;;Faux ;VRAI;Vrai ;VRAI;Je ne sais pas ;Faux ;Je ne sais pas ;VRAI;Vaccination (e.g., contre HPV) Dépistage régulier (e.g., mammographie, frottis cervical) Arrêt du tabac Évitement des expositions environnementales Examen genetiques pour les familles a risque;1;1;1;0;1;1;0;0;;Filles avant le début de la vie sexuelle;VRAI;si detecte et pris en charge au stade precoce ;Chirurgie  Chimiotherapie ;1;1;0;0;0;0;0;0;0;;Soulager la douleur et les autres symptômes (dyspnée, nausées, anxiété);;Diagnostic tardif  Manque d'accès aux traitements  Insuffisance de ressources (e.g., équipements, personnel specialise dans sa prise en charge ) Niveau d'education de la population bas  Facteurs socioculturels (e.g., recours à la médecine traditionnelle)    Pauvreté / Manque de moyens financiers  ;1;1;1;1;1;1;0;0;0;;Oui;;Dépistage régulier;5;VRAI;Oui , beaucoup;Traitable;Non ;Non;;;;Dépistage régulier
30;Masculin;Nord kivu;celibataire ;18;Universite catholique de Graben ;OUI;Mes cours a l' universite \ Formation médicale;1;0;0;0;0;0;;Une prolifération incontrôlée de cellules anormales;0;1;0;0;0;; Leucémie    cancer du sein  Cancer de la prostate ;0;1;0;1;0;0;0;0;0;1;0;0;0;;Tabagiste ;1;0;0;0;0;0;0;0;0;0;0;0;;Faux ;VRAI;Vrai ;VRAI;Je ne sais pas ;Faux ;Je ne sais pas ;Je ne sais pas ;Vaccination (e.g., contre HPV) Dépistage régulier (e.g., mammographie, frottis cervical) Arrêt du tabac;1;1;1;0;0;0;0;0;;Filles avant le début de la vie sexuelle;VRAI;si detecte et pris en charge au stade precoce ;Chirurgie  Chimiotherapie  Immunotherapie ;1;1;1;0;0;0;0;0;0;;Soulager la douleur et les autres symptômes (dyspnée, nausées, anxiété);;Diagnostic tardif  Manque d'accès aux traitements  Insuffisance de ressources (e.g., équipements, personnel specialise dans sa prise en charge ) Pauvreté / Manque de moyens financiers  ;1;1;1;0;0;1;0;0;0;;Non;Difficulté d'accès au soins, la non disponibilité des soins à certains endroits;Dévelloper la culture de Chek up annuel mais surtout faire une couverture santé universelle qui rapprochera les services de santé de la population;4;VRAI;Oui , beaucoup;C'est une maladie traitable;Non ;Non;;;;Multiplier la sensibilisation pour le dépistage de cancer
28;Masculin;Nord kivu;celibataire ;17;Universite catholique de Graben ;OUI;Expérience clinique  durant mon  Stages;0;0;0;0;1;0;;Une prolifération incontrôlée de cellules anormales;0;1;0;0;0;;Cancer colorectal   Leucémie   Retinoblastome   cancer du sein  Lymphome  cancer de l'uterus  cancer des ovaires  cancer de poumons  Cancer de la prostate  cancer de la peau ;1;1;1;1;1;0;1;1;1;1;1;0;0;;Tabagiste  Consomation d'alocool  Exposition à des substances chimiques / Pollution de la nature Facteurs génétiques / Héréditaires;1;1;0;0;0;1;1;0;0;0;0;0;;Faux ;VRAI;Vrai ;VRAI;Je ne sais pas ;Faux ;VRAI;VRAI;Vaccination (e.g., contre HPV) Dépistage régulier (e.g., mammographie, frottis cervical) Évitement des expositions environnementales Examen genetiques pour les familles a risque;1;1;0;0;1;1;0;0;;Filles avant le début de la vie sexuelle;VRAI;si detecte et pris en charge au stade precoce ;Chirurgie  Chimiotherapie  Therapie cible  Radiotherapie ;1;1;0;1;1;0;0;0;0;;Soulager la douleur et les autres symptômes (dyspnée, nausées, anxiété);;Diagnostic tardif  Manque d'accès aux traitements  Niveau d'education de la population bas  Facteurs socioculturels (e.g., recours à la médecine traditionnelle)    Pauvreté / Manque de moyens financiers  ;1;1;0;1;1;1;0;0;0;;Oui;;Éducation de la population sur l'existence du cancer, arrêt de tabac, pour les filles de se faire dépister pour maximiser la chance d'être vacciné.;5;VRAI;Oui , beaucoup;Maladie traitable au stade précoce, mais au stade de métastase cela est parfois difficile.;Non ;Non;;;;1. Sensibilisation et la formation de personnel soignant sur la prise en charge. 2. Intensifier le dépistage pour détecter le stade précoce de la maladie. 3. Rendre disponible des personnes ayant la maîtrise du domaine.
26;Masculin;Nord kivu;celibataire ;14;Universite catholique de Graben ;OUI;Mes cours a l' universite \ Formation médicale;1;0;0;0;0;0;;Une prolifération incontrôlée de cellules anormales;0;1;0;0;0;;Cancer colorectal   Leucémie   Retinoblastome   cancer du sein  Lymphome  cancer de l'uterus  cancer des ovaires  cancer de poumons  Cancer de la prostate  cancer de la peau ;1;1;1;1;1;0;1;1;1;1;1;0;0;;Tabagiste  Consomation d'alocool  Mauvaise alimentation (e.g., excès de viande rouge, faible en fruits/légumes) Infections (e.g., HPV, hépatite B/C) Exposition à des substances chimiques / Pollution de la nature Facteurs génétiques / Héréditaires;1;1;1;0;1;1;1;0;0;0;0;0;;Faux ;VRAI;Vrai ;VRAI;Je ne sais pas ;Faux ;VRAI;Je ne sais pas ;Vaccination (e.g., contre HPV) Dépistage régulier (e.g., mammographie, frottis cervical) Arrêt du tabac Alimentation saine et exercice physique  Évitement des expositions environnementales Examen genetiques pour les familles a risque;1;1;1;1;1;1;0;0;;Filles avant le début de la vie sexuelle;VRAI;si detecte et pris en charge au stade precoce ;Chimiotherapie ;0;1;0;0;0;0;0;0;0;;Soulager la douleur et les autres symptômes (dyspnée, nausées, anxiété);;Diagnostic tardif  Facteurs socioculturels (e.g., recours à la médecine traditionnelle)   ;1;0;0;0;1;0;0;0;0;;Non;diagnostic tardif, ressource financière faible pour l'accès à la chimiothérapie,thérapies;Arrêt du tabac, alimentation aux produits naturels,;4;VRAI;Oui , moderement ;Traitable, si découvert tôt;Non ;Non;;;;Sensibilisation communautaire dans l'arrêt du tabac et alcool,  consommation des aliments naturels, consultations régulières même si on n'est pas malade, ...
28;Masculin;Nord kivu;celibataire ;10;Universite catholique de Graben ;OUI;Mes cours a l' universite \ Formation médicale Littérature scientifique / Livres  Expérience clinique  durant mon  Stages;1;0;0;1;1;0;;Une prolifération incontrôlée de cellules anormales;0;1;0;0;0;;Cancer colorectal   Leucémie    cancer du sein  cancer de l'uterus  cancer de poumons  Cancer de la prostate ;1;1;0;1;0;0;1;0;1;1;0;0;0;;Tabagiste  Exposition à des substances chimiques / Pollution de la nature Facteurs génétiques / Héréditaires Vieillissement ( age );1;0;0;0;0;1;1;1;0;0;0;0;;Faux ;VRAI;Vrai ;VRAI;VRAI;Faux ;Faux ;VRAI;Vaccination (e.g., contre HPV) Dépistage régulier (e.g., mammographie, frottis cervical) Arrêt du tabac Alimentation saine et exercice physique  Évitement des expositions environnementales Examen genetiques pour les familles a risque;1;1;1;1;1;1;0;0;;Filles avant le début de la vie sexuelle;VRAI;si detecte et pris en charge au stade precoce ;Chirurgie  Chimiotherapie  Immunotherapie  Therapie cible  Radiotherapie  traitement paliatif ;1;1;1;1;1;1;0;0;0;;Améliorer la qualité de vie du patient et de sa famille;;Diagnostic tardif  Insuffisance de ressources (e.g., équipements, personnel specialise dans sa prise en charge ) Facteurs socioculturels (e.g., recours à la médecine traditionnelle)    Pauvreté / Manque de moyens financiers  ;1;0;1;0;1;1;0;0;0;;Non;Le manque des moyens adéquats notamment les infrastructures, les consommables et le personnel qualifié;Dépistage régulier;4;VRAI;Oui , beaucoup;Maladie traitable;Non ;Non;;;;Sensibilisation, dépistage et vaccination pour tous
27;Masculin;Nord kivu;celibataire ;10;Universite catholique de Bukavu ( UCB) ;OUI;Mes cours a l' universite \ Formation médicale;1;0;0;0;0;0;;Une prolifération incontrôlée de cellules anormales;0;1;0;0;0;; Leucémie   Retinoblastome   cancer du sein  cancer de l'uterus  Cancer de la prostate ;0;1;1;1;0;0;1;0;0;1;0;0;0;;Tabagiste  Consomation d'alocool  Exposition à des substances chimiques / Pollution de la nature Vieillissement ( age );1;1;0;0;0;1;0;1;0;0;0;0;;Faux ;VRAI;Vrai ;VRAI;Je ne sais pas ;Je ne sais pas ;VRAI;Je ne sais pas ;Vaccination (e.g., contre HPV) Dépistage régulier (e.g., mammographie, frottis cervical) Arrêt du tabac;1;1;1;0;0;0;0;0;;Filles avant le début de la vie sexuelle;Je ne sais pas ;;Chimiotherapie  Immunotherapie  traitement paliatif ;0;1;1;0;0;1;0;0;0;;Soutenir l’accompagnement psychologique et spirituel;;Diagnostic tardif  Manque d'accès aux traitements  Insuffisance de ressources (e.g., équipements, personnel specialise dans sa prise en charge ) Pauvreté / Manque de moyens financiers  ;1;1;1;0;0;1;0;0;0;;Je ne sais pas;;Vaccins, dépistage, et chimiothérapie efficace;1;VRAI;Non ;Maladie chronique;Non ;Non;;;;Vaccins, dépistage précoce et chimiothérapie
