"age","sexe","province","statut_matrimonial","duree_stage","university","avoir_deja_entendu_cancer","source_information_cancer","source_information_cancer_formation_medicale","source_information_cancer_medias","source_information_cancer_famille_amis","source_information_cancer_litterature_scientifique_livres","source_information_cancer_experience_clinique_durant_mon_stages","source_information_cancer_autre","si_autre_precision","caracteristic_cancer","caracteristic_cancer_une_infection_aigue","caracteristic_cancer_une_proliferation_incontrolee_de_cellules_anormales","caracteristic_cancer_une_inflammation_passagere","caracteristic_cancer_une_reaction_allergique","caracteristic_cancer_autre","si_autre_precision_2","type_de_cancer_connu","type_de_cancer_connu_cancer_colorectal","type_de_cancer_connu_leucemie","type_de_cancer_connu_retinoblastome","type_de_cancer_connu_cancer_du_sein","type_de_cancer_connu_lymphome","type_de_cancer_connu_meduloblastome","type_de_cancer_connu_cancer_uterus","type_de_cancer_connu_cancer_des_ovaires","type_de_cancer_connu_cancer_de_poumons","type_de_cancer_conn_cancer_prostate","type_de_cancer_connu_cancer_peau","type_de_cancer_connu_aucun","type_de_cancer_connu_autre","type_de_cancer_connu_si_autre_precision","principaux_facteurs_de_risque","principaux_facteurs_de_risque_tabagiste","principaux_facteurs_de_risque_consomation_d_alocool","principaux_facteurs_de_risque_mauvaise_alimentation","principaux_facteurs_de_risque_manque_d_exercice_physique","principaux_facteurs_de_risque_infections","principaux_facteurs_de_risque_exposition_substances_chimiques","principaux_facteurs_de_risque_genetique_hereditaire","principaux_facteurs_de_risque_vieillissement","principaux_facteurs_de_risque_mythes_culturels_sorcellerie","principaux_facteurs_de_risque_aucun","principaux_facteurs_de_risque_je_ne_sais_pas","principaux_facteurs_de_risque_autre","principaux_facteurs_de_risque_si_autre_precision","le_cancer_touche_uniquement_les_personnes_agees","la_detection_precoce_ameliore_les_resultats_du_traitement","le_tabagisme_est_la_cause_la_plus_frequente_du_cancer","certaines_vaccination_peuvent_prevenir_certains_cancers","utilisation_d_ecrans_solaires_reduit_le_cancer_de_la_peau","le_cancer_est_toujours_hereditaire","le_cancer_du_sein_peut_toucher_les_hommes","hpylori_peut_conduire_au_cancer_gastrique","les_moyens_de_prevention_ou_de_depistage_du_cancer","les_moyens_de_prevention_ou_de_depistage_du_cancer_vaccination","les_moyens_de_prevention_ou_de_depistage_du_cancer_depistage_regulier","les_moyens_de_prevention_ou_de_depistage_du_cancer_arret_du_tabac","les_moyens_de_prevention_ou_de_depistage_du_cancer_alimentation_saine_et_exercice_physique","les_moyens_de_prevention_ou_de_depistage_du_cancer_evitement_des_expositions_environnementales","les_moyens_de_prevention_ou_de_depistage_du_cancer_examen_genetiques_pour_les_familles_a_risque","les_moyens_de_prevention_ou_de_depistage_du_cancer_aucun","les_moyens_de_prevention_ou_de_depistage_du_cancer_autre","les_moyens_de_prevention_ou_de_depistage_du_cancer_si_autre_precision","la_vaccination_contre_le_hpv_est_prioritairement_recommandee_chez","pense_que_le_cancer_peut_etre_gueri","si_vrai_quand","modalites_therapeutiques","modalites_therapeutiques_chirurgie","modalites_therapeutiques_chimiotherapie","modalites_therapeutiques_immunotherapie","modalites_therapeutiques_therapie_cible","modalites_therapeutiques_radiotherapie","modalites_therapeutiques_traitement_paliatif","modalites_therapeutiques_traitement_traditionnel","modalites_therapeutiques_je_ne_sais_pas","modalites_therapeutiques_autre","modalites_therapeutique_si_autre_precision","role_principal_des_soins_palliatifs","si_autre_precision_3","principales_causes_de_la_mortalite_elevee_due_au_cancer_en_rdc","principales_causes_diagnostic_tardif","principales_causes_manque_d_acces_aux_traitements","principales_causes_insuffisance_de_ressources","principales_causes_niveau_d_education_de_la_population_bas","principales_causes_facteurs_socioculturels","principales_causes_pauvrete_manque_de_moyens_financiers","principales_causes_je_ne_sais_pas","principales_causes_aucun","principales_causes_autre","principales_causes_si_autre_precision","pensez_vous_que_la_prevention_le_diagnostic_et_la_prise_en_charge_du_cancer_sont_adequates_en_rdc","si_non_quels_sont_les_raison","mesure_de_prevation_prioritaire_proposee_pour_lutter_contre_le_cancer_en_rdc","niveau_de_priorite_accordee_a_la_lutte_contre_le_cancer_en_rdc","pensez_vous_que_le_cancer_est_un_probleme_majeur_de_sante_publique_dans_la_sous_region_du_kivu","influence_des_mythes_et_traditions_sur_la_gestion_du_cancer","votre_perception_generale_du_cancer","antecedent_personnel_de_cancer","antecedent_familial_de_cancer","relation_avec_la_personne_atteinte","mode_de_traitement_observe_ou_vecu","evolution_observee","poposition_pour_ameliorer_la_lutte_contre_le_cancer_dans_la_sous_region_du_kivu"
27,"Feminin_","Maniema_","celibataire_",1,"Universite_de_kindu_","OUI","Mes_cours_a_l'_universite_\_Formation_médicale_Littérature_scientifique_/_Livres_",1,0,0,1,0,0,"Famille","Une_infection_aiguë_Une_prolifération_incontrôlée_de_cellules_anormales",1,1,0,0,0,"Pollution_environnementale","Cancer_colorectal___Leucémie___Retinoblastome___cancer_du_sein__Lymphome__Meduloblastome__cancer_de_l'uterus__cancer_des_ovaires__cancer_de_poumons__Cancer_de_la_prostate__cancer_de_la_peau_",1,1,1,1,1,1,1,1,1,1,1,0,0,"Cancer_du_col_utérin","Tabagiste__Consomation_d'alocool__Mauvaise_alimentation_(e.g.,_excès_de_viande_rouge,_faible_en_fruits/légumes)_Infections_(e.g.,_HPV,_hépatite_B/C)_Exposition_à_des_substances_chimiques_/_Pollution_de_la_nature_Mythes_culturels_(_sorcellerie)",1,1,1,0,1,1,0,0,1,0,0,0,"Héréditaire","Faux_","VRAI","Vrai_","VRAI","VRAI","Faux_","VRAI","VRAI","Vaccination_(e.g.,_contre_HPV)_Dépistage_régulier_(e.g.,_mammographie,_frottis_cervical)_Arrêt_du_tabac_Alimentation_saine_et_exercice_physique__Évitement_des_expositions_environnementales",1,1,1,1,1,0,0,0,"Soins_appropriés","Filles_avant_le_début_de_la_vie_sexuelle","VRAI","","Chirurgie__Chimiotherapie__Immunotherapie__Therapie_cible__Radiotherapie__traitement_paliatif_",1,1,1,1,1,1,0,0,0,"Traitement_précoce","Soulager_la_douleur_et_les_autres_symptômes_(dyspnée,_nausées,_anxiété)","Améliorez_la_qualité_de_vie_du_patient","Diagnostic_tardif__Manque_d'accès_aux_traitements__Insuffisance_de_ressources_(e.g.,_équipements,_personnel_specialise_dans_sa_prise_en_charge_)_Niveau_d'education_de_la_population_bas__Facteurs_socioculturels_(e.g.,_recours_à_la_médecine_traditionnelle)___",1,1,1,1,1,0,0,0,0,"Diagnostic_tardif","Non","","Détecter_la_prise_en_charge_du_cancer_précocement",5,"VRAI","Oui_,_beaucoup","Traitable","Non_","Non","","","","Détecter_le_cancer_précocement,_avoir_les_agents_personnel_du_soin_de_Cancer"
27,"Masculin","Maniema_","celibataire_",9,"Universite_de_kindu_","OUI","Mes_cours_a_l'_universite_\_Formation_médicale",1,0,0,0,0,0,"","Une_prolifération_incontrôlée_de_cellules_anormales",0,1,0,0,0,"","_cancer_du_sein_",0,0,0,1,0,0,0,0,0,0,0,0,0,"","Facteurs_génétiques_/_Héréditaires",0,0,0,0,0,0,1,0,0,0,0,0,"","Faux_","VRAI","Faux_","VRAI","VRAI","Faux_","Faux_","VRAI","Dépistage_régulier_(e.g.,_mammographie,_frottis_cervical)",0,1,0,0,0,0,0,0,"","Filles_avant_le_début_de_la_vie_sexuelle","VRAI","si_detecte_et_pris_en_charge_au_stade_precoce_","Chirurgie__Chimiotherapie__Radiotherapie__traitement_paliatif_",1,1,0,0,1,1,0,0,0,"","Soulager_la_douleur_et_les_autres_symptômes_(dyspnée,_nausées,_anxiété)","","Diagnostic_tardif__Manque_d'accès_aux_traitements__Insuffisance_de_ressources_(e.g.,_équipements,_personnel_specialise_dans_sa_prise_en_charge_)_Niveau_d'education_de_la_population_bas__Facteurs_socioculturels_(e.g.,_recours_à_la_médecine_traditionnelle)____Pauvreté_/_Manque_de_moyens_financiers__",1,1,1,1,1,1,0,0,0,"","Oui","","Dépistage_précoce_et_une_prise_en_charge_au_Stade_précoce_de_la_maladie",5,"VRAI","Oui_,_beaucoup","Le_cancer_est_une_maladie_traitable_qui_nécessite_une_prise_en_charge_précoce_et_adéquate","Oui","Non","","","","Sensibiliser_la_femme_pour_la_faire_savoir_le_cancer_du_sein,sa_clinique,_l'apprendre_comment_on_peut_diagnostiquer_le_cancer_du_sein_et_promouvoir_une_prise_en_charge_précoce"
28,"Masculin","Maniema_","celibataire_",11,"Universite_de_kindu_","OUI","Mes_cours_a_l'_universite_\_Formation_médicale",1,0,0,0,0,0,"","Une_prolifération_incontrôlée_de_cellules_anormales",0,1,0,0,0,"","Cancer_colorectal___cancer_du_sein__cancer_de_l'uterus__cancer_des_ovaires__cancer_de_poumons__Cancer_de_la_prostate__cancer_de_la_peau_",1,0,0,1,0,0,1,1,1,1,1,0,0,"","Tabagiste__Infections_(e.g.,_HPV,_hépatite_B/C)_Facteurs_génétiques_/_Héréditaires",1,0,0,0,1,0,1,0,0,0,0,0,"","VRAI","VRAI","Vrai_","VRAI","VRAI","Faux_","Faux_","Faux_","Vaccination_(e.g.,_contre_HPV)_Dépistage_régulier_(e.g.,_mammographie,_frottis_cervical)_Arrêt_du_tabac_Alimentation_saine_et_exercice_physique__Examen_genetiques_pour_les_familles_a_risque",1,1,1,1,0,1,0,0,"","Femmes_de_plus_de_50_ans_","Faux_","","Chirurgie__Chimiotherapie_",1,1,0,0,0,0,0,0,0,"","Soulager_la_douleur_et_les_autres_symptômes_(dyspnée,_nausées,_anxiété)","","Diagnostic_tardif__Manque_d'accès_aux_traitements__Insuffisance_de_ressources_(e.g.,_équipements,_personnel_specialise_dans_sa_prise_en_charge_)_Niveau_d'education_de_la_population_bas_",1,1,1,1,0,0,0,0,0,"","Oui","","Le_dépistage_précoce",5,"VRAI","Oui_,_beaucoup","Est_une_maladie_traitable","Non_","Non","","","","Le_dépistage_précoce"
25,"Masculin","Maniema_","celibataire_",11,"Universite_de_kindu_","OUI","Mes_cours_a_l'_universite_\_Formation_médicale",1,0,0,0,0,0,"","Une_prolifération_incontrôlée_de_cellules_anormales",0,1,0,0,0,"","_cancer_du_sein_",0,0,0,1,0,0,0,0,0,0,0,0,0,"","Facteurs_génétiques_/_Héréditaires",0,0,0,0,0,0,1,0,0,0,0,0,"","Faux_","VRAI","Vrai_","VRAI","Faux_","Faux_","Faux_","VRAI","Dépistage_régulier_(e.g.,_mammographie,_frottis_cervical)",0,1,0,0,0,0,0,0,"","Filles_avant_le_début_de_la_vie_sexuelle","VRAI","si_detecte_et_pris_en_charge_au_stade_precoce_","Chirurgie__Chimiotherapie__Radiotherapie_",1,1,0,0,1,0,0,0,0,"","Soutenir_laccompagnement_psychologique_et_spirituel","","Diagnostic_tardif_",1,0,0,0,0,0,0,0,0,"","Oui","","Le_dépistage_régulier_et_léviction_de_facteurs_predisposants",1,"VRAI","Oui_,_moderement_","Il_est_mortel","Oui","Oui","un_oncle_/Tente_","Traitement_médical_conventionnel_(e.g.,_hôpital)_","Guérison__","Dépistage_régulier"
26,"Masculin","Nord_kivu","celibataire_",11,"Universite_catholique_de_Graben_","OUI","Mes_cours_a_l'_universite_\_Formation_médicale_Médias_(TV,_radio,_internet)",1,1,0,0,0,0,"","Une_prolifération_incontrôlée_de_cellules_anormales",0,1,0,0,0,"","Cancer_colorectal___Leucémie___Retinoblastome___cancer_du_sein__Lymphome__cancer_de_l'uterus__cancer_des_ovaires__cancer_de_poumons__Cancer_de_la_prostate__cancer_de_la_peau_",1,1,1,1,1,0,1,1,1,1,1,0,0,"","Tabagiste__Consomation_d'alocool__Infections_(e.g.,_HPV,_hépatite_B/C)_Exposition_à_des_substances_chimiques_/_Pollution_de_la_nature_Facteurs_génétiques_/_Héréditaires",1,1,0,0,1,1,1,0,0,0,0,0,"","Faux_","VRAI","Vrai_","VRAI","Je_ne_sais_pas_","Faux_","Je_ne_sais_pas_","VRAI","Vaccination_(e.g.,_contre_HPV)_Dépistage_régulier_(e.g.,_mammographie,_frottis_cervical)_Arrêt_du_tabac_Évitement_des_expositions_environnementales_Examen_genetiques_pour_les_familles_a_risque",1,1,1,0,1,1,0,0,"","Filles_avant_le_début_de_la_vie_sexuelle","VRAI","si_detecte_et_pris_en_charge_au_stade_precoce_","Chirurgie__Chimiotherapie_",1,1,0,0,0,0,0,0,0,"","Soulager_la_douleur_et_les_autres_symptômes_(dyspnée,_nausées,_anxiété)","","Diagnostic_tardif__Manque_d'accès_aux_traitements__Insuffisance_de_ressources_(e.g.,_équipements,_personnel_specialise_dans_sa_prise_en_charge_)_Niveau_d'education_de_la_population_bas__Facteurs_socioculturels_(e.g.,_recours_à_la_médecine_traditionnelle)____Pauvreté_/_Manque_de_moyens_financiers__",1,1,1,1,1,1,0,0,0,"","Oui","","Dépistage_régulier",5,"VRAI","Oui_,_beaucoup","Traitable","Non_","Non","","","","Dépistage_régulier"
30,"Masculin","Nord_kivu","celibataire_",18,"Universite_catholique_de_Graben_","OUI","Mes_cours_a_l'_universite_\_Formation_médicale",1,0,0,0,0,0,"","Une_prolifération_incontrôlée_de_cellules_anormales",0,1,0,0,0,"","_Leucémie____cancer_du_sein__Cancer_de_la_prostate_",0,1,0,1,0,0,0,0,0,1,0,0,0,"","Tabagiste_",1,0,0,0,0,0,0,0,0,0,0,0,"","Faux_","VRAI","Vrai_","VRAI","Je_ne_sais_pas_","Faux_","Je_ne_sais_pas_","Je_ne_sais_pas_","Vaccination_(e.g.,_contre_HPV)_Dépistage_régulier_(e.g.,_mammographie,_frottis_cervical)_Arrêt_du_tabac",1,1,1,0,0,0,0,0,"","Filles_avant_le_début_de_la_vie_sexuelle","VRAI","si_detecte_et_pris_en_charge_au_stade_precoce_","Chirurgie__Chimiotherapie__Immunotherapie_",1,1,1,0,0,0,0,0,0,"","Soulager_la_douleur_et_les_autres_symptômes_(dyspnée,_nausées,_anxiété)","","Diagnostic_tardif__Manque_d'accès_aux_traitements__Insuffisance_de_ressources_(e.g.,_équipements,_personnel_specialise_dans_sa_prise_en_charge_)_Pauvreté_/_Manque_de_moyens_financiers__",1,1,1,0,0,1,0,0,0,"","Non","Difficulté_d'accès_au_soins,_la_non_disponibilité_des_soins_à_certains_endroits","Dévelloper_la_culture_de_Chek_up_annuel_mais_surtout_faire_une_couverture_santé_universelle_qui_rapprochera_les_services_de_santé_de_la_population",4,"VRAI","Oui_,_beaucoup","C'est_une_maladie_traitable","Non_","Non","","","","Multiplier_la_sensibilisation_pour_le_dépistage_de_cancer"
28,"Masculin","Nord_kivu","celibataire_",17,"Universite_catholique_de_Graben_","OUI","Expérience_clinique__durant_mon__Stages",0,0,0,0,1,0,"","Une_prolifération_incontrôlée_de_cellules_anormales",0,1,0,0,0,"","Cancer_colorectal___Leucémie___Retinoblastome___cancer_du_sein__Lymphome__cancer_de_l'uterus__cancer_des_ovaires__cancer_de_poumons__Cancer_de_la_prostate__cancer_de_la_peau_",1,1,1,1,1,0,1,1,1,1,1,0,0,"","Tabagiste__Consomation_d'alocool__Exposition_à_des_substances_chimiques_/_Pollution_de_la_nature_Facteurs_génétiques_/_Héréditaires",1,1,0,0,0,1,1,0,0,0,0,0,"","Faux_","VRAI","Vrai_","VRAI","Je_ne_sais_pas_","Faux_","VRAI","VRAI","Vaccination_(e.g.,_contre_HPV)_Dépistage_régulier_(e.g.,_mammographie,_frottis_cervical)_Évitement_des_expositions_environnementales_Examen_genetiques_pour_les_familles_a_risque",1,1,0,0,1,1,0,0,"","Filles_avant_le_début_de_la_vie_sexuelle","VRAI","si_detecte_et_pris_en_charge_au_stade_precoce_","Chirurgie__Chimiotherapie__Therapie_cible__Radiotherapie_",1,1,0,1,1,0,0,0,0,"","Soulager_la_douleur_et_les_autres_symptômes_(dyspnée,_nausées,_anxiété)","","Diagnostic_tardif__Manque_d'accès_aux_traitements__Niveau_d'education_de_la_population_bas__Facteurs_socioculturels_(e.g.,_recours_à_la_médecine_traditionnelle)____Pauvreté_/_Manque_de_moyens_financiers__",1,1,0,1,1,1,0,0,0,"","Oui","","Éducation_de_la_population_sur_l'existence_du_cancer,_arrêt_de_tabac,_pour_les_filles_de_se_faire_dépister_pour_maximiser_la_chance_d'être_vacciné.",5,"VRAI","Oui_,_beaucoup","Maladie_traitable_au_stade_précoce,_mais_au_stade_de_métastase_cela_est_parfois_difficile.","Non_","Non","","","","1._Sensibilisation_et_la_formation_de_personnel_soignant_sur_la_prise_en_charge._2._Intensifier_le_dépistage_pour_détecter_le_stade_précoce_de_la_maladie._3._Rendre_disponible_des_personnes_ayant_la_maîtrise_du_domaine."
26,"Masculin","Nord_kivu","celibataire_",14,"Universite_catholique_de_Graben_","OUI","Mes_cours_a_l'_universite_\_Formation_médicale",1,0,0,0,0,0,"","Une_prolifération_incontrôlée_de_cellules_anormales",0,1,0,0,0,"","Cancer_colorectal___Leucémie___Retinoblastome___cancer_du_sein__Lymphome__cancer_de_l'uterus__cancer_des_ovaires__cancer_de_poumons__Cancer_de_la_prostate__cancer_de_la_peau_",1,1,1,1,1,0,1,1,1,1,1,0,0,"","Tabagiste__Consomation_d'alocool__Mauvaise_alimentation_(e.g.,_excès_de_viande_rouge,_faible_en_fruits/légumes)_Infections_(e.g.,_HPV,_hépatite_B/C)_Exposition_à_des_substances_chimiques_/_Pollution_de_la_nature_Facteurs_génétiques_/_Héréditaires",1,1,1,0,1,1,1,0,0,0,0,0,"","Faux_","VRAI","Vrai_","VRAI","Je_ne_sais_pas_","Faux_","VRAI","Je_ne_sais_pas_","Vaccination_(e.g.,_contre_HPV)_Dépistage_régulier_(e.g.,_mammographie,_frottis_cervical)_Arrêt_du_tabac_Alimentation_saine_et_exercice_physique__Évitement_des_expositions_environnementales_Examen_genetiques_pour_les_familles_a_risque",1,1,1,1,1,1,0,0,"","Filles_avant_le_début_de_la_vie_sexuelle","VRAI","si_detecte_et_pris_en_charge_au_stade_precoce_","Chimiotherapie_",0,1,0,0,0,0,0,0,0,"","Soulager_la_douleur_et_les_autres_symptômes_(dyspnée,_nausées,_anxiété)","","Diagnostic_tardif__Facteurs_socioculturels_(e.g.,_recours_à_la_médecine_traditionnelle)___",1,0,0,0,1,0,0,0,0,"","Non","diagnostic_tardif,_ressource_financière_faible_pour_l'accès_à_la_chimiothérapie,thérapies","Arrêt_du_tabac,_alimentation_aux_produits_naturels,",4,"VRAI","Oui_,_moderement_","Traitable,_si_découvert_tôt","Non_","Non","","","","Sensibilisation_communautaire_dans_l'arrêt_du_tabac_et_alcool,__consommation_des_aliments_naturels,_consultations_régulières_même_si_on_n'est_pas_malade,_..."
28,"Masculin","Nord_kivu","celibataire_",10,"Universite_catholique_de_Graben_","OUI","Mes_cours_a_l'_universite_\_Formation_médicale_Littérature_scientifique_/_Livres__Expérience_clinique__durant_mon__Stages",1,0,0,1,1,0,"","Une_prolifération_incontrôlée_de_cellules_anormales",0,1,0,0,0,"","Cancer_colorectal___Leucémie____cancer_du_sein__cancer_de_l'uterus__cancer_de_poumons__Cancer_de_la_prostate_",1,1,0,1,0,0,1,0,1,1,0,0,0,"","Tabagiste__Exposition_à_des_substances_chimiques_/_Pollution_de_la_nature_Facteurs_génétiques_/_Héréditaires_Vieillissement_(_age_)",1,0,0,0,0,1,1,1,0,0,0,0,"","Faux_","VRAI","Vrai_","VRAI","VRAI","Faux_","Faux_","VRAI","Vaccination_(e.g.,_contre_HPV)_Dépistage_régulier_(e.g.,_mammographie,_frottis_cervical)_Arrêt_du_tabac_Alimentation_saine_et_exercice_physique__Évitement_des_expositions_environnementales_Examen_genetiques_pour_les_familles_a_risque",1,1,1,1,1,1,0,0,"","Filles_avant_le_début_de_la_vie_sexuelle","VRAI","si_detecte_et_pris_en_charge_au_stade_precoce_","Chirurgie__Chimiotherapie__Immunotherapie__Therapie_cible__Radiotherapie__traitement_paliatif_",1,1,1,1,1,1,0,0,0,"","Améliorer_la_qualité_de_vie_du_patient_et_de_sa_famille","","Diagnostic_tardif__Insuffisance_de_ressources_(e.g.,_équipements,_personnel_specialise_dans_sa_prise_en_charge_)_Facteurs_socioculturels_(e.g.,_recours_à_la_médecine_traditionnelle)____Pauvreté_/_Manque_de_moyens_financiers__",1,0,1,0,1,1,0,0,0,"","Non","Le_manque_des_moyens_adéquats_notamment_les_infrastructures,_les_consommables_et_le_personnel_qualifié","Dépistage_régulier",4,"VRAI","Oui_,_beaucoup","Maladie_traitable","Non_","Non","","","","Sensibilisation,_dépistage_et_vaccination_pour_tous"
27,"Masculin","Nord_kivu","celibataire_",10,"Universite_catholique_de_Bukavu_(_UCB)_","OUI","Mes_cours_a_l'_universite_\_Formation_médicale",1,0,0,0,0,0,"","Une_prolifération_incontrôlée_de_cellules_anormales",0,1,0,0,0,"","_Leucémie___Retinoblastome___cancer_du_sein__cancer_de_l'uterus__Cancer_de_la_prostate_",0,1,1,1,0,0,1,0,0,1,0,0,0,"","Tabagiste__Consomation_d'alocool__Exposition_à_des_substances_chimiques_/_Pollution_de_la_nature_Vieillissement_(_age_)",1,1,0,0,0,1,0,1,0,0,0,0,"","Faux_","VRAI","Vrai_","VRAI","Je_ne_sais_pas_","Je_ne_sais_pas_","VRAI","Je_ne_sais_pas_","Vaccination_(e.g.,_contre_HPV)_Dépistage_régulier_(e.g.,_mammographie,_frottis_cervical)_Arrêt_du_tabac",1,1,1,0,0,0,0,0,"","Filles_avant_le_début_de_la_vie_sexuelle","Je_ne_sais_pas_","","Chimiotherapie__Immunotherapie__traitement_paliatif_",0,1,1,0,0,1,0,0,0,"","Soutenir_laccompagnement_psychologique_et_spirituel","","Diagnostic_tardif__Manque_d'accès_aux_traitements__Insuffisance_de_ressources_(e.g.,_équipements,_personnel_specialise_dans_sa_prise_en_charge_)_Pauvreté_/_Manque_de_moyens_financiers__",1,1,1,0,0,1,0,0,0,"","Je_ne_sais_pas","","Vaccins,_dépistage,_et_chimiothérapie_efficace",1,"VRAI","Non_","Maladie_chronique","Non_","Non","","","","Vaccins,_dépistage_précoce_et_chimiothérapie"
